file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,8acb8f03,bdognieto,2026-04-17,19:14:39,-07:00,2026-04-17T19:14:39-07:00,0,4
style.css,2,css,8acb8f03,bdognieto,2026-04-17,19:14:39,-07:00,2026-04-17T19:14:39-07:00,1,23
style.css,3,css,8acb8f03,bdognieto,2026-04-17,19:14:39,-07:00,2026-04-17T19:14:39-07:00,0,0
style.css,4,css,8acb8f03,bdognieto,2026-04-17,19:14:39,-07:00,2026-04-17T19:14:39-07:00,0,0
style.css,5,css,b8c111dd,bdognieto,2026-04-03,21:23:07,-07:00,2026-04-03T21:23:07-07:00,0,4
style.css,6,css,b8c111dd,bdognieto,2026-04-03,21:23:07,-07:00,2026-04-03T21:23:07-07:00,1,23
style.css,7,css,fc3d5683,bdognieto,2026-04-10,20:02:55,-07:00,2026-04-10T20:02:55-07:00,1,14
style.css,8,css,fc3d5683,bdognieto,2026-04-10,20:02:55,-07:00,2026-04-10T20:02:55-07:00,1,13
style.css,9,css,fc3d5683,bdognieto,2026-04-10,20:02:55,-07:00,2026-04-10T20:02:55-07:00,1,12
style.css,10,css,c0b97888,bdognieto,2026-04-10,20:10:57,-07:00,2026-04-10T20:10:57-07:00,0,0
style.css,11,css,7c9c02b0,bdognieto,2026-04-10,20:29:28,-07:00,2026-04-10T20:29:28-07:00,0,0
style.css,12,css,b491751f,bdognieto,2026-04-10,21:23:09,-07:00,2026-04-10T21:23:09-07:00,0,2
style.css,13,css,b491751f,bdognieto,2026-04-10,21:23:09,-07:00,2026-04-10T21:23:09-07:00,1,14
style.css,14,css,b491751f,bdognieto,2026-04-10,21:23:09,-07:00,2026-04-10T21:23:09-07:00,0,0
style.css,15,css,b491751f,bdognieto,2026-04-10,21:23:09,-07:00,2026-04-10T21:23:09-07:00,0,0
style.css,16,css,b491751f,bdognieto,2026-04-10,21:23:09,-07:00,2026-04-10T21:23:09-07:00,0,22
style.css,17,css,b491751f,bdognieto,2026-04-10,21:23:09,-07:00,2026-04-10T21:23:09-07:00,1,15
style.css,18,css,b491751f,bdognieto,2026-04-10,21:23:09,-07:00,2026-04-10T21:23:09-07:00,1,17
style.css,19,css,b491751f,bdognieto,2026-04-10,21:23:09,-07:00,2026-04-10T21:23:09-07:00,0,0
style.css,20,css,b491751f,bdognieto,2026-04-10,21:23:09,-07:00,2026-04-10T21:23:09-07:00,0,0
style.css,21,css,27e7b281,bdognieto,2026-04-10,21:11:28,-07:00,2026-04-10T21:11:28-07:00,0,4
style.css,22,css,27e7b281,bdognieto,2026-04-10,21:11:28,-07:00,2026-04-10T21:11:28-07:00,0,7
style.css,23,css,27e7b281,bdognieto,2026-04-10,21:11:28,-07:00,2026-04-10T21:11:28-07:00,0,6
style.css,24,css,27e7b281,bdognieto,2026-04-10,21:11:28,-07:00,2026-04-10T21:11:28-07:00,1,12
style.css,25,css,27e7b281,bdognieto,2026-04-10,21:11:28,-07:00,2026-04-10T21:11:28-07:00,0,0
style.css,26,css,27e7b281,bdognieto,2026-04-10,21:11:28,-07:00,2026-04-10T21:11:28-07:00,0,0
style.css,27,css,76438217,bdognieto,2026-04-10,21:07:22,-07:00,2026-04-10T21:07:22-07:00,0,4
style.css,28,css,27e7b281,bdognieto,2026-04-10,21:11:28,-07:00,2026-04-10T21:11:28-07:00,1,12
style.css,29,css,27e7b281,bdognieto,2026-04-10,21:11:28,-07:00,2026-04-10T21:11:28-07:00,1,30
style.css,30,css,27e7b281,bdognieto,2026-04-10,21:11:28,-07:00,2026-04-10T21:11:28-07:00,1,7
style.css,31,css,76438217,bdognieto,2026-04-10,21:07:22,-07:00,2026-04-10T21:07:22-07:00,0,0
style.css,32,css,76438217,bdognieto,2026-04-10,21:07:22,-07:00,2026-04-10T21:07:22-07:00,0,0
style.css,33,css,76438217,bdognieto,2026-04-10,21:07:22,-07:00,2026-04-10T21:07:22-07:00,0,10
style.css,34,css,27e7b281,bdognieto,2026-04-10,21:11:28,-07:00,2026-04-10T21:11:28-07:00,1,16
style.css,35,css,76438217,bdognieto,2026-04-10,21:07:22,-07:00,2026-04-10T21:07:22-07:00,0,0
style.css,36,css,76438217,bdognieto,2026-04-10,21:07:22,-07:00,2026-04-10T21:07:22-07:00,0,0
style.css,37,css,76438217,bdognieto,2026-04-10,21:07:22,-07:00,2026-04-10T21:07:22-07:00,0,11
style.css,38,css,27e7b281,bdognieto,2026-04-10,21:11:28,-07:00,2026-04-10T21:11:28-07:00,1,18
style.css,39,css,76438217,bdognieto,2026-04-10,21:07:22,-07:00,2026-04-10T21:07:22-07:00,1,12
style.css,40,css,ad543bbb,bdognieto,2026-04-10,20:51:53,-07:00,2026-04-10T20:51:53-07:00,0,0
style.css,41,css,ad543bbb,bdognieto,2026-04-10,20:51:53,-07:00,2026-04-10T20:51:53-07:00,0,0
style.css,42,css,c0b97888,bdognieto,2026-04-10,20:10:57,-07:00,2026-04-10T20:10:57-07:00,0,3
style.css,43,css,c0b97888,bdognieto,2026-04-10,20:10:57,-07:00,2026-04-10T20:10:57-07:00,1,12
style.css,44,css,fa13f5c5,bdognieto,2026-04-10,20:16:42,-07:00,2026-04-10T20:16:42-07:00,1,18
style.css,45,css,9dbdf77d,bdognieto,2026-04-10,20:37:37,-07:00,2026-04-10T20:37:37-07:00,1,19
style.css,46,css,8acb8f03,bdognieto,2026-04-17,19:14:39,-07:00,2026-04-17T19:14:39-07:00,1,39
style.css,47,css,8acb8f03,bdognieto,2026-04-17,19:14:39,-07:00,2026-04-17T19:14:39-07:00,1,43
style.css,48,css,c0b97888,bdognieto,2026-04-10,20:10:57,-07:00,2026-04-10T20:10:57-07:00,0,0
style.css,49,css,7c9c02b0,bdognieto,2026-04-10,20:29:28,-07:00,2026-04-10T20:29:28-07:00,0,0
style.css,50,css,c0b97888,bdognieto,2026-04-10,20:10:57,-07:00,2026-04-10T20:10:57-07:00,0,5
style.css,51,css,c0b97888,bdognieto,2026-04-10,20:10:57,-07:00,2026-04-10T20:10:57-07:00,1,6
style.css,52,css,c0b97888,bdognieto,2026-04-10,20:10:57,-07:00,2026-04-10T20:10:57-07:00,1,17
style.css,53,css,c0b97888,bdognieto,2026-04-10,20:10:57,-07:00,2026-04-10T20:10:57-07:00,1,20
style.css,54,css,fa13f5c5,bdognieto,2026-04-10,20:16:42,-07:00,2026-04-10T20:16:42-07:00,1,14
style.css,55,css,8acb8f03,bdognieto,2026-04-17,19:14:39,-07:00,2026-04-17T19:14:39-07:00,1,13
style.css,56,css,843f6715,bdognieto,2026-04-10,20:34:35,-07:00,2026-04-10T20:34:35-07:00,1,13
style.css,57,css,cc078353,bdognieto,2026-04-10,20:13:51,-07:00,2026-04-10T20:13:51-07:00,0,0
style.css,58,css,7c9c02b0,bdognieto,2026-04-10,20:29:28,-07:00,2026-04-10T20:29:28-07:00,0,0
style.css,59,css,cc078353,bdognieto,2026-04-10,20:13:51,-07:00,2026-04-10T20:13:51-07:00,0,13
style.css,60,css,8acb8f03,bdognieto,2026-04-17,19:14:39,-07:00,2026-04-17T19:14:39-07:00,1,45
style.css,61,css,3728bc87,bdognieto,2026-04-10,20:22:37,-07:00,2026-04-10T20:22:37-07:00,0,0
style.css,62,css,d55373ee,bdognieto,2026-04-10,20:25:48,-07:00,2026-04-10T20:25:48-07:00,0,0
style.css,63,css,3728bc87,bdognieto,2026-04-10,20:22:37,-07:00,2026-04-10T20:22:37-07:00,0,11
style.css,64,css,8acb8f03,bdognieto,2026-04-17,19:14:39,-07:00,2026-04-17T19:14:39-07:00,1,57
style.css,65,css,8acb8f03,bdognieto,2026-04-17,19:14:39,-07:00,2026-04-17T19:14:39-07:00,1,33
style.css,66,css,7ec11ef1,bdognieto,2026-04-10,21:14:00,-07:00,2026-04-10T21:14:00-07:00,0,0
style.css,67,css,7ec11ef1,bdognieto,2026-04-10,21:14:00,-07:00,2026-04-10T21:14:00-07:00,0,0
style.css,68,css,7ec11ef1,bdognieto,2026-04-10,21:14:00,-07:00,2026-04-10T21:14:00-07:00,0,9
style.css,69,css,7ec11ef1,bdognieto,2026-04-10,21:14:00,-07:00,2026-04-10T21:14:00-07:00,1,12
style.css,70,css,7ec11ef1,bdognieto,2026-04-10,21:14:00,-07:00,2026-04-10T21:14:00-07:00,1,58
style.css,71,css,7ec11ef1,bdognieto,2026-04-10,21:14:00,-07:00,2026-04-10T21:14:00-07:00,1,7
style.css,72,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,0
style.css,73,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,0
style.css,74,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,15
style.css,75,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,1,17
style.css,76,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,0
style.css,77,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,0
style.css,78,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,10
style.css,79,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,1,21
style.css,80,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,0
style.css,81,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,0
style.css,82,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,10
style.css,83,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,1,15
style.css,84,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,1,21
style.css,85,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,1,22
style.css,86,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,1,28
style.css,87,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,1,16
style.css,88,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,0
style.css,89,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,0
style.css,90,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,10
style.css,91,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,1,21
style.css,92,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,1,17
style.css,93,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,0
style.css,94,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,0
style.css,95,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,9
style.css,96,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,1,15
style.css,97,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,0
style.css,98,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,0
style.css,99,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,10
style.css,100,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,1,17
style.css,101,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,1,20
style.css,102,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,0
style.css,103,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,0
style.css,104,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,10
style.css,105,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,1,16
style.css,106,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,0
style.css,107,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,0
style.css,108,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,15
style.css,109,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,1,21
style.css,110,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,0
style.css,111,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,0
style.css,112,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,0,12
style.css,113,css,d3d013d9,bdognieto,2026-04-10,21:26:29,-07:00,2026-04-10T21:26:29-07:00,1,10
style.css,114,css,7f989253,bdognieto,2026-04-17,19:23:47,-07:00,2026-04-17T19:23:47-07:00,0,0
style.css,115,css,7f989253,bdognieto,2026-04-17,19:23:47,-07:00,2026-04-17T19:23:47-07:00,0,0
style.css,116,css,7f989253,bdognieto,2026-04-17,19:23:47,-07:00,2026-04-17T19:23:47-07:00,0,13
style.css,117,css,7f989253,bdognieto,2026-04-17,19:23:47,-07:00,2026-04-17T19:23:47-07:00,1,17
style.css,118,css,7f989253,bdognieto,2026-04-17,19:23:47,-07:00,2026-04-17T19:23:47-07:00,1,8
